NCBI GeneID,Gene symbol,num of cells in which gene responds to hypoxia,Average fold change in hypoxia,consistent response in hypoxia,HIF score,HIF site rank,hypoxia rank,Final rank,Previously validated HIF target
3486,IGFBP3,3,40.6,Yes,4,1177,5,449,Yes
2026,ENO2,4,39.6,Yes,5,1128,3,407,No
6533,SLC6A6,5,35.8,Yes,8,860,1,256,No
29923,HIG2,5,32.6,Yes,25,227,2,23,Yes
664,BNIP3,6,21.7,Yes,14,515,4,104,Yes
55076,TMEM45A,4,21.6,Yes,65,25,7,1,No
768,CA9,2,16.2,Yes,11,632,19,149,Yes
5743,PTGS2,1,16.0,Yes,11,639,56,165,No
230,ALDOC,6,15.7,Yes,53,53,6,3,Yes
4015,LOX,3,14.2,Yes,18,328,12,50,Yes
467,ATF3,4,13.6,Yes,13,541,8,115,No
10397,NDRG1,4,12.9,Yes,15,431,9,80,inconclusive
10802,SEC24A,2,10.8,Yes,54,46,36,7,No
3623,INHA,1,10.6,Yes,11,684,99,205,No
148523,C1orf51,1,10.5,Yes,20,293,103,70,No
6676,SPAG4,3,10.1,Yes,22,266,21,33,No
51299,NRN1,1,10.1,Yes,12,613,109,176,Yes
9590,AKAP12,2,9.7,Yes,80,10,41,2,No
10144,FAM13A1,4,9.5,Yes,6,985,15,340,No
401474,SAMD12,1,9.3,Yes,95,2,127,13,No
5054,SERPINE1,2,9.3,Yes,11,658,44,168,Yes
4601,MXI1,5,8.9,Yes,17,384,11,68,Yes
771,CA12,2,8.5,Yes,16,401,49,82,Yes
284716,FAM80A,2,8.2,Yes,9,806,52,253,No
353322,ANKRD37,4,8.1,Yes,45,77,18,8,No
83937,RASSF4,1,8.0,Yes,27,196,155,52,No
9818,NUPL1,3,7.9,Yes,6,1038,31,382,No
4915,NTRK2,1,7.7,Yes,32,138,165,37,No
374655,ZNF710,2,7.6,Yes,17,364,60,74,No
4084,MXD1,2,7.6,Yes,13,519,61,128,No
55785,FGD6,1,7.6,Yes,5,1073,170,493,No
79365,BHLHB3,2,7.5,Yes,20,301,63,55,Yes
29950,SERTAD1,1,7.5,Yes,6,1013,177,456,No
8726,EED,1,6.9,Yes,18,342,211,117,No
4282,MIF,3,6.7,Yes,31,148,39,19,No
5507,PPP1R3C,2,6.6,Yes,30,165,74,25,No
8614,STC2,3,6.5,Yes,47,75,42,10,Yes
389337,FLJ41603,2,6.4,Yes,11,649,78,180,No
26355,C3orf28,6,6.3,Yes,17,378,14,66,Yes
26118,WSB1,5,5.9,Yes,22,257,24,32,No
51141,INSIG2,4,5.9,Yes,18,348,32,59,No
2997,GYS1,4,5.8,Yes,22,255,33,34,No
