HumanGeneID,Symbol,Description,MitoCarta3.0_MitoPathways
1537,CYC1,cytochrome c1,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits
6390,SDHB,succinate dehydrogenase complex iron sulfur subunit B,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
10229,COQ7,"coenzyme Q7, hydroxylase",Metabolism > Metals and cofactors > Coenzyme Q metabolism
6389,SDHA,succinate dehydrogenase complex flavoprotein subunit A,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | OXPHOS > OXPHOS subunits
7384,UQCRC1,ubiquinol-cytochrome c reductase core protein 1,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits"
84274,COQ5,"coenzyme Q5, methyltransferase",Metabolism > Metals and cofactors > Coenzyme Q metabolism
5160,PDHA1,pyruvate dehydrogenase E1 subunit alpha 1,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
57017,COQ9,coenzyme Q9,Metabolism > Metals and cofactors > Coenzyme Q metabolism
6182,MRPL12,mitochondrial ribosomal protein L12,Mitochondrial central dogma > mtRNA metabolism > Transcription | Mitochondrial central dogma > Translation > Mitochondrial ribosome
513,ATP5F1D,ATP synthase F1 subunit delta,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
9377,COX5A,cytochrome c oxidase subunit 5A,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
122961,ISCA2,iron-sulfur cluster assembly 2,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
9512,PMPCB,"peptidase, mitochondrial processing subunit beta","Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
7386,UQCRFS1,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
498,ATP5F1A,ATP synthase F1 subunit alpha,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
4967,OGDH,oxoglutarate dehydrogenase,Metabolism > Carbohydrate metabolism > TCA cycle
5162,PDHB,pyruvate dehydrogenase E1 subunit beta,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
7385,UQCRC2,ubiquinol-cytochrome c reductase core protein 2,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits"
6392,SDHD,succinate dehydrogenase complex subunit D,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits
60488,MRPS35,mitochondrial ribosomal protein S35,Mitochondrial central dogma > Translation > Mitochondrial ribosome
27089,UQCRQ,ubiquinol-cytochrome c reductase complex III subunit VII,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits
116540,MRPL53,mitochondrial ribosomal protein L53,Mitochondrial central dogma > Translation > Mitochondrial ribosome
1629,DBT,dihydrolipoamide branched chain transacylase E2,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex
5166,PDK4,pyruvate dehydrogenase kinase 4,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
4191,MDH2,malate dehydrogenase 2,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA cycle
23107,MRPS27,mitochondrial ribosomal protein S27,Mitochondrial central dogma > Translation > Mitochondrial ribosome
1431,CS,citrate synthase,Metabolism > Carbohydrate metabolism > TCA cycle
80273,GRPEL1,"GrpE like 1, mitochondrial","Protein import, sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis"
1737,DLAT,dihydrolipoamide S-acetyltransferase,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
10128,LRPPRC,leucine rich pentatricopeptide repeat containing,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial central dogma > Translation
1743,DLST,dihydrolipoamide S-succinyltransferase,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Lysine metabolism
8050,PDHX,pyruvate dehydrogenase complex component X,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
85476,GFM1,G elongation factor mitochondrial 1,Mitochondrial central dogma > Translation > Translation factors
25874,MPC2,mitochondrial pyruvate carrier 2,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport
4719,NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
26589,MRPL46,mitochondrial ribosomal protein L46,Mitochondrial central dogma > Translation > Mitochondrial ribosome
514,ATP5F1E,ATP synthase F1 subunit epsilon,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
5250,SLC25A3,solute carrier family 25 member 3,Metabolism > Metals and cofactors > Copper metabolism | Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > SLC25A family
51649,MRPS23,mitochondrial ribosomal protein S23,Mitochondrial central dogma > Translation > Mitochondrial ribosome
2271,FH,fumarate hydratase,Metabolism > Carbohydrate metabolism > TCA cycle
